indicator,label
PAK_CGO_E_CE_U_XDC,"Pakistan Definition,Central Government Operations, Expenditure, Current Expenditure, Unidentified (statistical descrepency), National Currency"
PAK_CGO_E_CE_XDC,"Pakistan Definition,Central Government Operations, Expenditure, Current Expenditure, National Currency"
PAK_CGO_E_NL_IL_XDC,"Pakistan Definition,Central Government Operations, Expenditure, Net lending, Investment and loans, National Currency"
PAK_CGO_E_NL_NP_XDC,"Pakistan Definition,Central Government Operations, Expenditure, Net lending, Net to provinces, National Currency"
PAK_CGO_E_NL_RP_XDC,"Pakistan Definition,Central Government Operations, Expenditure, Net lending, Recovery of principal, National Currency"
PAK_CGO_E_NL_XDC,"Pakistan Definition,Central Government Operations, Expenditure, Net lending, National Currency"
PAK_CGO_E_PDSP_XDC,"Pakistan Definition,Central Government Operations, Expenditure, PSDP, National Currency"
PAK_CGO_E_XDC,"Pakistan Definition,Central Government Operations, Expenditure, National Currency"
PAK_CGO_F_D_B_XDC,"Pakistan Definition,Central Government Operations, Financing, Domestic, Bank, National Currency"
PAK_CGO_F_D_NB_XDC,"Pakistan Definition,Central Government Operations, Financing, Domestic, Nonbank, National Currency"
PAK_CGO_F_D_XDC,"Pakistan Definition,Central Government Operations, Financing, Domestic, National Currency"
PAK_CGO_F_E_XDC,"Pakistan Definition,Central Government Operations, Financing, External (incl. privatization), National Currency"
PAK_CGO_F_P_XDC,"Pakistan Definition,Central Government Operations, Financing, Privatization, National Currency"
PAK_CGO_F_XDC,"Pakistan Definition,Central Government Operations, Financing, National Currency"
PAK_CGO_MI_NER_GER_G_XDC,"Pakistan Definition,Central Government Operations, Memorandum items: Net external receipts, Gross external receipts, Grants, National Currency"
PAK_CGO_MI_NER_GER_L_CA_XDC,"Pakistan Definition,Central Government Operations, Memorandum items: Net external receipts, Gross external receipts, Loans, Commodity aid (non-food)/programme loans, National Currency"
PAK_CGO_MI_NER_GER_L_OA_XDC,"Pakistan Definition,Central Government Operations, Memorandum items: Net external receipts, Gross external receipts, Loans, Other aid, National Currency"
PAK_CGO_MI_NER_GER_L_PA_XDC,"Pakistan Definition,Central Government Operations, Memorandum items: Net external receipts, Gross external receipts, Loans, Project aid, National Currency"
PAK_CGO_MI_NER_GER_O_XDC,"Pakistan Definition,Central Government Operations, Memorandum items: Net external receipts, Gross external receipts, Others, National Currency"
PAK_CGO_MI_NER_GER_XDC,"Pakistan Definition,Central Government Operations, Memorandum items: Net external receipts, Gross external receipts, National Currency"
PAK_CGO_MI_NER_R_XDC,"Pakistan Definition,Central Government Operations, Memorandum items: Net external receipts, Repayments, National Currency"
PAK_CGO_MI_NER_XDC,"Pakistan Definition,Central Government Operations, Memorandum items: Net external receipts, National Currency"
PAK_CGO_NR_GR_NTR_CA_DR_XDC,"Pakistan Definition,Central Government Operations, Net Revenue, Gross revenue , Nontax Revenue, Civil Administration, Defense receipts, National Currency"
PAK_CGO_NR_GR_NTR_CA_O_XDC,"Pakistan Definition,Central Government Operations, Net Revenue, Gross revenue , Nontax Revenue, Civil Administration, Others, National Currency"
PAK_CGO_NR_GR_NTR_CA_PSBP_XDC,"Pakistan Definition,Central Government Operations, Net Revenue, Gross revenue , Nontax Revenue, Civil Administration, Profit of SBP, National Currency"
PAK_CGO_NR_GR_NTR_CA_XDC,"Pakistan Definition,Central Government Operations, Net Revenue, Gross revenue , Nontax Revenue, Civil Administration, National Currency"
PAK_CGO_NR_GR_NTR_MR_AT_XDC,"Pakistan Definition,Central Government Operations, Net Revenue, Gross revenue , Nontax Revenue, Miscellaneous receipts, Airport tax, National Currency"
PAK_CGO_NR_GR_NTR_MR_O_XDC,"Pakistan Definition,Central Government Operations, Net Revenue, Gross revenue , Nontax Revenue, Miscellaneous receipts, Others, National Currency"
