item,code,Weight,Adjusted Weight,Jul-May FY25,FY26,Provisional May 2025,2026,source_id,vintage
Manufacturing of Non Metalic Mineral Products,M,5.01,6.392737589260043,-7.878008103414791,6.307768706667227,9.475526657671463,-10.66874463206785,sbp_lsm_production,2026-08-07
Glass Plates & Sheets,1.,0.3602,0.45961358875278796,-36.73010561539266,-4.032724568217516,14.916151809355682,-26.036866359447007,sbp_lsm_production,2026-08-07
Cement,2.,4.6498,5.933124000507255,-4.283871675951579,7.159240782154952,9.036325427799463,-9.361233480176223,sbp_lsm_production,2026-08-07
Manufacturing of Iron & Steel Products,N,3.4455,4.396442587583928,-9.302891107459743,-7.485965784119375,-0.27794283196194147,-12.572699113687468,sbp_lsm_production,2026-08-07
Pig Iron,1.,0.0001,0.00012759955267984118,0.0,0.0,0.0,0.0,sbp_lsm_production,2026-08-07
Billets/Ingots,2.,0.9239,1.1788922672090527,-23.13546423135464,-20.226308345120238,1.6393442622950616,-35.483870967741936,sbp_lsm_production,2026-08-07
H/C.R.Sheets/Strips/Coils/Plates Etc,3.,2.5215,3.2174227208221953,-2.0904199393901868,-2.2708609689849,-1.0172413793103408,-3.501132206932589,sbp_lsm_production,2026-08-07
Manufacture of Fabricated Metal,O,0.42315097098282783,0.5399387461344929,-15.301380414579924,9.701161491883582,-5.94937225222899,18.191498559760035,sbp_lsm_production,2026-08-07
Metal Drums,1.,0.0597,0.07617693294986519,18.58974358974359,-3.2432432432432323,7.692307692307687,14.28571428571428,sbp_lsm_production,2026-08-07
Safety Razor Blades and Cutlery,2.,0.36345097098282786,0.4637618131846277,-17.55149533677648,10.937294369445816,-6.920138825128075,18.513074957830653,sbp_lsm_production,2026-08-07
"Manufacture of Computer, Electronics and Optical Products",P,0.0271,0.034579478776236953,2.776128266033262,1.703660904874238,2.461622309019873,4.6099290780141855,sbp_lsm_production,2026-08-07
Manufacture of Electrical Equipment,Q,2.048717443211997,2.6141542932123873,-12.735723519839826,13.500089675058447,3.6238787371398518,13.875660172337522,sbp_lsm_production,2026-08-07
